2025-10-18 00:13:23,671 - INFO - [INFO] - Starting comprehensive dataset reset
2025-10-18 00:13:23,673 - INFO - [INFO] - Starting reset of document_generated field in tickers collection
2025-10-18 00:13:26,971 - INFO - [INFO] - Successfully updated 91 documents in tickers collection
2025-10-18 00:13:26,972 - INFO - [INFO] - Reset of document_generated field completed
2025-10-18 00:13:26,972 - INFO - [INFO] - Starting reset of task_completed field in pipeline collection
2025-10-18 00:13:27,277 - INFO - [INFO] - Successfully updated 2 documents in pipeline collection
2025-10-18 00:13:27,279 - INFO - [INFO] - Reset of task_completed field completed
2025-10-18 00:13:27,279 - INFO - [INFO] - Starting deletion of tickers with recurrence 'once'
2025-10-18 00:13:27,569 - INFO - [INFO] - Successfully deleted 0 documents with recurrence 'once' from tickers collection
2025-10-18 00:13:27,569 - INFO - [INFO] - Deletion of once tickers completed
2025-10-18 00:13:27,570 - INFO - [INFO] - Starting deletion of pipeline documents with recurrence 'once'
2025-10-18 00:13:27,862 - INFO - [INFO] - Successfully deleted 0 documents with recurrence 'once' from pipeline collection
2025-10-18 00:13:27,863 - INFO - [INFO] - Deletion of once pipeline documents completed
2025-10-18 00:13:27,863 - INFO - [INFO] - Starting deletion of all weigh_factors documents
2025-10-18 00:13:28,156 - INFO - [INFO] - Successfully deleted 15 documents from 'weight_factors'.
2025-10-18 00:13:28,157 - INFO - [INFO] - All reset operations completed successfully
2025-10-18 00:14:35,507 - ERROR - [ERR-0001] - [45b468ce] Unexpected error inserting pipeline data | Exception: TypeError: documents must be a non-empty list | From: create_mongodb_db.py:insert_pipeline_data()
2025-10-18 00:14:35,509 - ERROR - [ERR-0001] - [6b92d68f] Failed during sequential operation | From: create_mongodb_db.py:create_alphagora_database()
2025-10-18 00:15:37,915 - INFO - [INFO] - MongoDB connection closed
2025-10-18 00:16:25,770 - ERROR - [ERR-0104] - [25c0e1b6] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:25,770 - ERROR - [ERR-0104] - [bcd717d6] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:25,771 - ERROR - [ERR-0104] - [2194bd41] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:25,885 - ERROR - [ERR-0104] - [e9c221ff] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:25,916 - ERROR - [ERR-0404] - [ff965328] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:25,917 - ERROR - [ERR-0404] - [3d0003c5] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:25,918 - ERROR - [ERR-0404] - [310c2dc7] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:25,918 - ERROR - [ERR-0404] - [f964722d] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:26,071 - ERROR - [ERR-0104] - [ae8ac83c] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:26,102 - ERROR - [ERR-0404] - [5e76b5c4] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:26,209 - ERROR - [ERR-0104] - [a0280697] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:26,251 - ERROR - [ERR-0404] - [f932024d] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:26,384 - ERROR - [ERR-0104] - [e83d702b] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:26,413 - ERROR - [ERR-0404] - [8750e475] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
